Cell_ID,IL8,IL6,CCL11,SOX9,COL1A1,ACTB,EEF2,SPP1,RUNX1,PDL1,GAPDH,NANOG
exp2_uc_002_1,23,23,18,6,2467,1052,587,29,462,43,1546,17
exp2_uc_002_2,44,35,10,9,2038,3556,567,16,141,193,1092,9
exp2_uc_004_1,16,1013,13,5,1528,297,541,11,475,17,1275,8
exp2_uc_008_1,102,252,26,21,582,479,265,41,298,18,1139,10
exp2_uc_008_2,68,17,12,12,1504,2287,581,18,342,38,1455,61
exp2_uc_009_1,3,3,17,9,1505,1463,517,82,588,36,1516,22
exp2_uc_009_2,44,23,14,7,1202,1130,364,17,217,22,696,14
exp2_uc_009_3,7,3,16,18,1197,3488,216,21,155,37,1324,15
exp2_uc_010_1,13,45,17,18,745,836,368,235,201,22,1033,13
exp2_uc_010_2,11,11,14,24,1833,3387,406,18,189,34,1491,13
exp2_uc_011_1,99,18,25,53,937,2967,256,16,228,59,1551,10
exp2_uc_011_2,96,129,23,8,2606,1584,828,102,486,29,1929,57
exp2_uc_017_1,68,3,38,38,782,5679,1122,48,673,59,3565,37
exp2_uc_018_1,56,153,10,21,1226,1735,339,18,371,19,1080,11
exp2_uc_019_1,36,70,12,4,531,1102,195,4,110,19,778,13
exp2_uc_019_2,94,128,8,18,848,1210,340,28,143,28,1087,34
exp2_uc_021_1,9,85,10,21,1224,1145,215,20,44,13,391,6
exp2_uc_021_2,5,14,12,31,299,1599,253,13,190,38,698,6
exp2_uc_023_1,158,23,33,19,1112,477,335,24,147,18,835,12
exp2_uc_023_2,33,4,13,63,952,1957,328,47,241,19,855,6
exp2_uc_024_1,78,123,18,16,810,561,242,5,214,24,719,9
exp2_uc_028_1,132,123,23,17,1040,607,353,24,370,32,1099,18
exp2_uc_030_1,104,34,12,18,662,697,189,12,254,15,539,17
exp2_uc_031_1,159,28,18,22,997,1205,737,56,929,3,802,1
exp2_uc_031_2,44,11,7,19,1871,819,562,12,833,1,691,3
exp2_uc_031_3,8,8,10,19,514,226,147,6,395,0,312,0
exp2_uc_032_1,61,11,12,19,1296,202,389,45,721,3,1755,3
exp2_uc_033_1,36,34,10,24,2155,342,474,10,892,1,1566,2
exp2_uc_033_2,132,10,5,27,212,1775,854,239,784,2,3696,10
exp2_uc_034_1,163,2,11,13,682,2018,880,164,843,1,3281,6
exp2_uc_035_1,14,129,8,7,450,268,322,17,583,1,1155,3
exp2_uc_036_1,139,14,20,13,3283,161,828,37,975,2,1957,12
exp2_uc_037_1,47,13,16,15,1177,182,369,41,669,0,1657,1
exp2_uc_039_1,5,13,13,12,242,1347,379,71,632,1,1171,2
exp2_uc_039_2,10,11,10,11,1210,616,543,30,692,1,1328,2
exp2_uc_039_3,25,8,2,7,638,727,410,17,506,1,884,1
exp2_uc_039_4,133,80,14,35,1461,394,557,414,951,1,2229,3
exp2_uc_040_1,172,12,1,11,1477,960,532,54,822,2,590,1
exp2_uc_043_1,55,38,31,98,3005,934,1353,38,1893,6,1537,2
exp2_uc_043_2,611,9,3,7,0,14,23,2,122,0,62,8
